URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8.0,3.0,0.4545454132231443,0.03691275167785235,14.9,39.261744966442954,21.66469798657718,14.9,117.0,298.0,2.422818791946309,3.0,7.493288590604027
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,15.0,10.0,0.19999999200000032,0.04132231404958678,12.1,34.049586776859506,18.459834710743802,12.1,206.0,605.0,2.2694214876033056,5.0,6.869421487603306
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13.0,5.0,0.4444444197530878,0.05341246290801187,15.318181818181818,36.20178041543027,20.607984893444836,15.318181818181818,122.0,337.0,2.344213649851632,3.0,7.350148367952523
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26.0,14.0,0.2999999925000002,0.0718132854578097,13.925,51.526032315978455,26.180412926391384,13.925,287.0,557.0,2.657091561938959,1.0,7.822262118491921
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,5.0,1.0,0.6666665555555741,0.017595307917888565,12.62962962962963,39.29618768328446,20.770326925165637,12.62962962962963,134.0,341.0,2.434017595307918,1.0,7.214076246334311
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8.0,3.0,0.4545454132231443,0.03691275167785235,14.9,39.261744966442954,21.66469798657718,14.9,117.0,298.0,2.422818791946309,3.0,7.493288590604027
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,15.0,10.0,0.19999999200000032,0.04132231404958678,12.1,34.049586776859506,18.459834710743802,12.1,206.0,605.0,2.2694214876033056,5.0,6.869421487603306
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13.0,5.0,0.4444444197530878,0.05341246290801187,15.318181818181818,36.20178041543027,20.607984893444836,15.318181818181818,122.0,337.0,2.344213649851632,3.0,7.350148367952523
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26.0,14.0,0.2999999925000002,0.0718132854578097,13.925,51.526032315978455,26.180412926391384,13.925,287.0,557.0,2.657091561938959,1.0,7.822262118491921
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,59.0,24.0,0.42168674190738864,0.061664190193164936,11.216666666666667,48.439821693907874,23.862595344229817,11.216666666666667,652.0,1346.0,2.5445765230312034,4.0,7.536404160475483
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,21.0,8.0,0.4482758466111777,0.06157112526539278,12.394736842105264,47.346072186836516,23.896323611576715,12.394736842105264,223.0,471.0,2.632696390658174,3.0,7.885350318471337
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,34.0,5.0,0.7435897245233405,0.06220095693779904,14.928571428571429,52.63157894736842,27.024060150375938,14.928571428571429,330.0,627.0,2.7496012759170654,4.0,8.240829346092504
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,27.0,7.0,0.5882352768166096,0.07623318385650224,11.736842105263158,46.41255605381166,23.25975926362993,11.736842105263158,207.0,446.0,2.6838565022421523,4.0,8.410313901345292
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,16.0,7.0,0.39130433081285515,0.05251141552511415,13.6875,48.17351598173516,24.744406392694064,13.6875,211.0,438.0,2.627853881278539,1.0,8.0
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,68.0,34.0,0.33333333006535953,0.09115281501340483,13.814814814814815,44.95084897229669,23.506265514844603,13.814814814814815,503.0,1119.0,2.58266309204647,9.0,7.81680071492404
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,13.0,6.0,0.36842103324099823,0.0405982905982906,15.096774193548388,37.39316239316239,20.995974634684316,15.096774193548388,175.0,468.0,2.4423076923076925,3.0,7.363247863247863
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,43.0,9.0,0.6538461412721897,0.07428571428571429,13.72549019607843,50.57142857142857,25.7187675070028,13.72549019607843,354.0,700.0,2.66,3.0,7.898571428571429
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,8.0,5.0,0.23076921301775286,0.042071197411003236,10.3,42.394822006472495,21.077928802589,10.3,131.0,309.0,2.614886731391586,3.0,8.142394822006473
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,17.0,8.0,0.35999998560000057,0.05070993914807302,16.433333333333334,44.42190669371197,24.34209601081812,16.433333333333334,219.0,493.0,2.632860040567951,3.0,7.797160243407708
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,25.0,13.0,0.31578946537396146,0.08482142857142858,12.444444444444445,42.1875,21.852777777777778,12.444444444444445,189.0,448.0,2.5513392857142856,3.0,7.640625
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,12.0,3.0,0.5999999600000027,0.04065040650406504,10.542857142857143,38.21138211382114,19.501695702671313,10.542857142857143,141.0,369.0,2.4146341463414633,3.0,7.197831978319783
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,13.0,4.0,0.5294117335640156,0.04450261780104712,10.914285714285715,45.811518324607334,22.69032161555722,10.914285714285715,175.0,382.0,2.575916230366492,1.0,7.638743455497382
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,14.0,4.0,0.5555555246913597,0.04825737265415549,10.970588235294118,39.14209115281501,20.045071755243654,10.970588235294118,146.0,373.0,2.420911528150134,1.0,7.418230563002681
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,19.0,3.0,0.7272726942148775,0.05913978494623656,10.628571428571428,43.81720430107527,21.77831029185868,10.628571428571428,163.0,372.0,2.543010752688172,3.0,7.661290322580645
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,22.0,4.0,0.6923076656804744,0.06951871657754011,10.685714285714285,41.44385026737968,20.851825821237586,10.685714285714285,155.0,374.0,2.521390374331551,1.0,7.652406417112299
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,17.0,11.0,0.21428570663265334,0.07142857142857142,10.051282051282051,43.11224489795919,21.265410779696495,10.051282051282051,169.0,392.0,2.563775510204082,3.0,7.594387755102041
Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,12.0,2.0,0.7142856632653098,0.03867403314917127,12.066666666666666,40.88397790055249,21.180257826887665,12.066666666666666,148.0,362.0,2.522099447513812,4.0,8.019337016574585
Netclan20241044,https://insights.blackcoffer.com/sports-prediction-model-for-multiple-sports-leagues/,20.0,4.0,0.66666663888889,0.05010438413361169,14.515151515151516,41.544885177453025,22.424014677041818,14.515151515151516,199.0,479.0,2.4363256784968685,1.0,7.501043841336117
Netclan20241045,https://insights.blackcoffer.com/efficient-coach-allocation-system-for-sports-coaching-organization/,16.0,6.0,0.4545454338842984,0.04835164835164835,10.340909090909092,39.34065934065934,19.872627372627377,10.340909090909092,179.0,455.0,2.5714285714285716,4.0,8.061538461538461
Netclan20241046,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function-2/,24.0,10.0,0.41176469377162667,0.06126126126126126,11.1,40.18018018018018,20.512072072072073,11.1,223.0,555.0,2.4936936936936935,4.0,7.655855855855856
Netclan20241047,https://insights.blackcoffer.com/ai-driven-backend-for-audio-to-text-conversion-and-analytical-assessment-in-pharmaceutical-practice/,11.0,8.0,0.15789472853185638,0.04460093896713615,10.923076923076923,40.140845070422536,20.425568797399787,10.923076923076923,171.0,426.0,2.4741784037558685,1.0,7.469483568075117
Netclan20241048,https://insights.blackcoffer.com/cloud-based-web-application-for-financial-data-processing-and-visualization-of-sp-500-metrics/,49.0,16.0,0.507692299881657,0.0989345509893455,14.282608695652174,47.48858447488584,24.708477268215205,14.282608695652174,312.0,657.0,2.654490106544901,1.0,7.937595129375952
Netclan20241049,https://insights.blackcoffer.com/department-wise-kpi-tracking-dashboard-with-technician-performance-analysis-for-atoz-dependable-service/,26.0,8.0,0.5294117491349486,0.050746268656716415,10.98360655737705,34.776119402985074,18.30389038414485,10.98360655737705,233.0,670.0,2.4402985074626864,1.0,7.74179104477612
Netclan20241050,https://insights.blackcoffer.com/steps-to-convert-a-node-js-api-to-python-for-aws-lambda-deployment/,22.0,9.0,0.4193548251821024,0.07242990654205607,12.969696969696969,42.05607476635514,22.010308694420843,12.969696969696969,180.0,428.0,2.4929906542056073,3.0,7.602803738317757
Netclan20241051,https://insights.blackcoffer.com/building-an-analytics-dashboard-with-a-pdf-parsing-pipeline-for-data-extraction/,32.0,27.0,0.08474576127549557,0.04872006606110652,8.351724137931035,35.26011560693642,17.44473589794698,8.351724137931035,427.0,1211.0,2.2947976878612715,3.0,6.951279933938894
Netclan20241052,https://insights.blackcoffer.com/building-a-real-time-log-file-visualization-dashboard-in-kibana/,17.0,22.0,-0.12820512491781733,0.05379310344827586,9.931506849315069,38.48275862068966,19.365706188001894,9.931506849315069,279.0,725.0,2.3655172413793104,3.0,7.048275862068966
Netclan20241053,https://insights.blackcoffer.com/analyzing-the-impact-of-female-ceo-appointments-on-company-stock-prices/,20.0,8.0,0.4285714132653067,0.03825136612021858,10.027397260273972,46.17486338797814,22.480904259300846,10.027397260273972,338.0,732.0,2.539617486338798,1.0,7.55327868852459
Netclan20241054,https://insights.blackcoffer.com/ai-chatbot-using-llm-langchain-llama/,14.0,3.0,0.6470587854671302,0.03648068669527897,19.416666666666668,39.91416309012876,23.732331902718173,19.416666666666668,186.0,466.0,2.3969957081545066,1.0,7.094420600858369
